edge_id,roi_i_107space,roi_j_107space,n_subjects,mean_delta_str,median_delta_str,sd_delta_str,t_obs,parametric_t_p_two_sided_reference,n_positive_subjects,n_negative_subjects,n_zero_subjects,cohen_dz,p_perm_t_two_sided,p_perm_t_greater_reference,p_perm_t_FWER_maxT_reference,p_perm_mean_two_sided_reference,q_BH_FDR_t_two_sided,q_BH_FDR_mean_two_sided_reference,FDR05_significant_t,FDR10_significant_t,positive_mean_delta,negative_mean_delta,FDR05_significant_positive_t,FDR05_significant_negative_t,roi_i_roi_label,roi_i_region_label,roi_j_roi_label,roi_j_region_label,network_pair,network17_pair,bootstrap_CI_low_top_edges_only,bootstrap_CI_high_top_edges_only
053__101,53,101,13,0.078043166,0.105574441,0.106404453,2.644519382,0.021394484,10,3,0,0.73345771,0.021728516,0.010864258,1,0.021728516,0.171858315,0.171858315,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_053,ROI_053,ROI_101,ROI_101,Unknown - Unknown,Unknown - Unknown,,
011__030,11,30,13,0.078004011,0.097915998,0.113949275,2.468181218,0.029591891,9,4,0,0.684550303,0.032226563,0.016113281,1,0.032226563,0.1839574,0.1839574,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_011,ROI_011,ROI_030,ROI_030,Unknown - Unknown,Unknown - Unknown,,
008__083,8,83,13,0.077905416,0.103833092,0.089366451,3.143147898,0.008482181,10,3,0,0.871752378,0.011962891,0.005981445,0.999267578,0.011962891,0.159627183,0.159627183,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_008,ROI_008,ROI_083,ROI_083,Unknown - Unknown,Unknown - Unknown,,
023__060,23,60,13,0.077892824,0.049920058,0.079220675,3.545117118,0.004032693,12,1,0,0.98323858,0.003173828,0.001586914,0.981445313,0.003173828,0.149465388,0.149465388,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_023,ROI_023,ROI_060,ROI_060,Unknown - Unknown,Unknown - Unknown,0.038453717,0.121008379
014__076,14,76,13,0.077879904,0.090388058,0.087393003,3.213071704,0.007449629,10,3,0,0.891145752,0.008789063,0.004394531,0.997802734,0.008789063,0.159627183,0.159627183,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_014,ROI_014,ROI_076,ROI_076,Unknown - Unknown,Unknown - Unknown,,
029__064,29,64,13,0.077865723,0.078296332,0.093293666,3.009302428,0.010877023,10,3,0,0.834630324,0.010986328,0.005493164,0.999511719,0.010986328,0.159627183,0.159627183,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_029,ROI_029,ROI_064,ROI_064,Unknown - Unknown,Unknown - Unknown,,
039__102,39,102,13,0.077773987,0.084417821,0.101027355,2.77566504,0.016784732,11,2,0,0.769830971,0.018554688,0.009277344,1,0.018554688,0.171145286,0.171145286,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_039,ROI_039,ROI_102,ROI_102,Unknown - Unknown,Unknown - Unknown,,
051__058,51,58,13,0.077675888,0.082456388,0.09389039,2.982886712,0.011424303,9,4,0,0.827303922,0.011474609,0.005737305,0.999755859,0.011474609,0.159627183,0.159627183,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_051,ROI_051,ROI_058,ROI_058,Unknown - Unknown,Unknown - Unknown,,
017__080,17,80,13,0.077612953,0.065765002,0.092834013,3.014385287,0.010774762,9,4,0,0.836040055,0.012695313,0.006347656,0.999511719,0.012695313,0.162884881,0.162884881,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_017,ROI_017,ROI_080,ROI_080,Unknown - Unknown,Unknown - Unknown,,
002__058,2,58,13,0.077575908,0.073721254,0.099924897,2.799141381,0.016069817,10,3,0,0.776342137,0.014160156,0.007080078,1,0.014160156,0.16304744,0.16304744,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_002,ROI_002,ROI_058,ROI_058,Unknown - Unknown,Unknown - Unknown,,
008__095,8,95,13,0.077572219,0.106332211,0.104270842,2.682347302,0.019950169,10,3,0,0.743949288,0.024902344,0.012451172,1,0.024902344,0.174995281,0.174995281,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_008,ROI_008,ROI_095,ROI_095,Unknown - Unknown,Unknown - Unknown,,
063__080,63,80,13,0.07756673,0.077720989,0.086309017,3.240343023,0.007082131,10,3,0,0.898709455,0.004882813,0.002441406,0.996826172,0.004882813,0.149677998,0.149677998,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_063,ROI_063,ROI_080,ROI_080,Unknown - Unknown,Unknown - Unknown,0.035075,0.124781131
061__075,61,75,13,0.077517519,0.087380297,0.090438621,3.090420742,0.009355018,10,3,0,0.857128496,0.010742188,0.005371094,0.999511719,0.010742188,0.159627183,0.159627183,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,ROI_061,ROI_061,ROI_075,ROI_075,Unknown - Unknown,Unknown - Unknown,,
